sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.566883 -0.091674, R -0.500262 -0.039779, YSP 21.662703 25.802412
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 21.662703 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.607221 -0.112995, R -0.533098 -0.054958, YSP 22.297077 27.858446
sp -0.644957 -0.134876, R -0.583786 -0.080283, YSP 22.297077 30.106647
sp -0.643867 -0.164029, R -0.583786 -0.080283, YSP 22.297077 55.032749
sp -0.643867 -0.164029, R -0.583786 -0.080283, YSP 24.784546 55.032749
sp -0.643867 -0.164029, R -0.583786 -0.080283, YSP 24.784546 55.032749
sp -0.643867 -0.164029, R -0.583786 -0.080283, YSP 24.784546 55.032749
sp -0.643867 -0.164029, R -0.583786 -0.080283, YSP 24.784546 55.032749
sp -0.643867 -0.164029, R -0.583798 -0.081231, YSP 25.574743 55.032749
sp -0.643867 -0.164029, R -0.583798 -0.081231, YSP 25.574743 55.032749
sp -0.643867 -0.164029, R -0.583798 -0.081231, YSP 25.574743 55.032749
sp -0.643867 -0.164029, R -0.583798 -0.081231, YSP 25.574743 55.032749
sp -0.643867 -0.164029, R -0.583798 -0.081231, YSP 25.574743 55.032749
sp -0.643867 -0.164029, R -0.583798 -0.081231, YSP 25.574743 55.032749
sp -0.643867 -0.164029, R -0.592494 -0.085393, YSP 25.574743 55.032749
sp -0.643867 -0.164029, R -0.592494 -0.085393, YSP 25.574743 55.032749
sp -0.643867 -0.164029, R -0.592494 -0.085393, YSP 27.034266 55.032749
sp -0.643867 -0.164029, R -0.592494 -0.085393, YSP 27.034266 55.032749
sp -0.643867 -0.164029, R -0.592494 -0.085393, YSP 27.034266 55.032749
sp -0.643867 -0.164029, R -0.592494 -0.085393, YSP 27.034266 55.032749
sp -0.643867 -0.164029, R -0.596832 -0.090571, YSP 28.904737 55.032749
sp -0.643867 -0.164029, R -0.596832 -0.090571, YSP 28.904737 55.032749
sp -0.643867 -0.164029, R -0.596832 -0.090571, YSP 28.904737 55.032749
sp -0.643867 -0.164029, R -0.596832 -0.090571, YSP 28.904737 55.032749
sp -0.643867 -0.164029, R -0.596832 -0.090571, YSP 28.904737 55.032749
sp -0.643867 -0.164029, R -0.596832 -0.090571, YSP 28.904737 55.032749
sp -0.643867 -0.164029, R -0.602555 -0.092956, YSP 31.033691 55.032749
sp -0.643867 -0.164029, R -0.602555 -0.092956, YSP 31.033691 55.032749
sp -0.643867 -0.164029, R -0.602555 -0.092956, YSP 31.033691 55.032749
